0.7085521498	tla
0.6999154129	tcp
0.6982941646	ip
0.6981120386	gis
0.6979532345	ml
0.6951945203	neural
0.6936985883	java
0.6925448561	tk
0.6917143002	web
0.6916921503	tcl
0.6916344631	sql
0.6900302125	bayesian
0.6898582996	lisp
0.6895158674	programming
0.6875244531	gaussian
0.6871494791	logic
0.6834542954	db2
0.6833546700	design
0.6827920738	induction
0.6817162799	warehousing
0.6815526780	ontology
0.6814889079	internet
0.6810113665	icp
0.6806327559	nets
0.6798754356	management
0.6797162799	truth
0.6793834088	libraries
0.6793419999	university
0.6790298062	music
0.6783375601	fuzzy
0.6781235256	warehouse
0.6766578116	anwendungen
0.6765954466	petri
0.6757819283	commerce
0.6749828946	mining
0.6747814818	multimedia
0.6734939425	author
0.6734099682	object
0.6733335642	operating
0.6727371761	wireless
0.6714215770	collaborative
0.6711948001	discovery
0.6710316822	database
0.6704773791	symbolic
0.6703101188	einführung
0.6702255703	education
0.6702018502	intelligence
0.6697530808	xml
0.6692578415	fundamentals
0.6691309047	chance
0.6681262303	introduction
0.6663619069	mobile
0.6659951784	language
0.6651755648	databases
0.6650600977	genome
0.6644541895	theory
0.6632023889	overview
0.6622595981	distributed
0.6618969381	algebra
0.6588552194	allocation
0.6580578689	link
0.6576111979	security
0.6575796222	standard
0.6574358697	knowledge
0.6573986444	net
0.6567988436	chain
0.6544451756	modeling
0.6543976456	artificial
0.6539006888	learning
0.6532209039	prediction
0.6522457199	architecture
0.6519110492	systems
0.6517271885	analysis
0.6515624834	community
0.6507568720	concurrency
0.6501989696	online
0.6499462001	relational
0.6493309553	industry
0.6488058017	machine
0.6483046659	systematic
0.6481795510	differential
0.6469167774	technology
0.6467851820	shared
0.6462533714	software
0.6459372016	cryptography
0.6457308548	services
0.6457144403	deductive
0.6453270446	automation
0.6449053747	coverage
0.6444189704	signature
0.6442838262	foundations
0.6438885102	harmonic
0.6435399557	communicating
0.6427984385	notion
0.6427345416	final
0.6424925091	ai
0.6415515692	machines
0.6411236114	cardinality
0.6409447037	educational
0.6407275994	based
0.6404465104	compiler
0.6403269415	media
0.6397250050	factors
0.6396003491	fusion
0.6392047472	service
0.6388888042	algebraic
0.6381110732	agent
